text	added doi
bellwood2011holocene	yes
maclaurin2008biodiversity.	yes
schulmeister2004comparative	yes
Redelings_2021_BAli-Phy	yes
savage2009single	yes
grambank_release	yes
walkden_2013	yes
holland2020accuracy	yes
evans2021uses	yes
blomberg2002tempo	yes
glottolog4_5	yes
grayetal_2009	yes
blust2004	yes
greenhill2011pollex	yes
ABVD	yes
lightfoot_2002b	yes
pereltsvaig2015indo_dates	yes
goldstein_2022	yes
wals-44	yes
chung1978	yes
kikusawa2002proto	yes
ball2007ergativity	yes
harris2008reconstruction	yes
jager2016inferring	yes
drummond2015bayesian	yes
joy2016ancestral	yes
watts2016ritual	yes
pagel1999inferring	yes
wals-81	yes
grace1958position	NA
pawley1972internal	NA
geraghty1996	NA
clark1973aspects	NA
kikusawa_2006_pro_number	NA
hale_1968	NA
hohepa_1969	NA
chung1977aspects	NA
protooceanicvol1	ISBN
felsenstein2004inferring	ISBN
blust1996neogrammarian	ISBN
campbell1996sound	ISBN
pawley2005meaning	ISBN
anttila1989historical	ISBN
blomberg2003testing	yes
borges2019measuring	yes
ives2010phylogenetic	yes
fritz2010selectivity	yes
macklin2021phylogenetic	yes
hubler2022phylogenetic	yes
orme2013caper	NA
schlegel1808sprache	ISBN
lamarck1809philosophie	yes
greenhill2015evolution	yes
darwin1859origin	yes
atkinson2005curious	yes
jager2018using	yes
carling2021reconstructing	yes
chang2015ancestry	yes
pagel2004bayesian	yes
ronquist2004bayesian	yes
liggett2010continuous	yes
huelsenbeck2003stochastic	yes
goldstein_2022.	yes
R	yes
louca2017efficient	
phangorn	
R-corHMM	
paradis2004ape	
jombart2017package	
revell2012phytools	
psych_r_package	
wickham2020reshape2	
tidyverse13	
sasaki2007truth	
hammarstrom2018simultaneous	
slingerland2020coding	
protooceanicvol5	ISBN
	
ross2004morphosyntactic	
blust_chen_2017).	
bouckaert2014densitree	
marck2000_encyclo	
crowley1985common	
hohepa_1967	
jonsson1998	
goddard1993algonquian	
evans2003study	
pawley1973some	
lynchrosscrowley_proto_grammar_oceanic	
pawley1970change	
ross2007two	
list2022lexibank	
list2017potential	
gray_greenhill_defend_bayes	
d_place_all	
grambank_analysed_1_0	
grambank_dataset_zenodo_v1	
kikusawa2001rotuman	
sankoff1975minimal	
wilks1938large	
fisher1912absolute	
pagel1994detecting	
cunningham1998reconstructing	
jonny_ML.	
revell_2014	
yang2006computational	
flushright	
van1979information.	
van1979information	
grafen1989phylogenetic	
grafen1989phylogenetic.	
R-castor	
