Parsimony_cost,0,1,Feature_ID,ntips
24,65,61,GB024a,126
18,49,77,GB024b,126
21,91,34,GB025a,125
14,19,106,GB025b,125
31,61,70,GB065a,131
16,22,109,GB065b,131
17,32,94,GB130a,126
21,88,38,GB130b,126
23,100,26,GB193a,126
6,7,119,GB193b,126
23,63,36,GB203a,99
19,25,74,GB203b,99
29,51,78,GB020,129
20,74,42,GB021,116
23,49,81,GB022,130
20,104,25,GB023,129
0,116,0,GB026,116
22,34,68,GB027,102
2,2,130,GB028,132
5,125,6,GB030,131
23,42,88,GB031,130
20,30,82,GB035,112
8,103,8,GB036,111
10,100,11,GB037,111
5,114,5,GB038,119
12,106,13,GB039,119
3,93,3,GB041,96
3,126,3,GB042,129
2,126,2,GB043,128
11,111,15,GB044,126
18,45,21,GB046,66
20,30,74,GB047,104
20,63,32,GB048,95
25,41,61,GB049,102
2,122,2,GB051,124
3,120,3,GB052,123
9,112,9,GB053,121
2,118,3,GB054,121
14,81,40,GB057,121
27,52,68,GB058,120
3,3,123,GB059,126
26,31,81,GB068,112
30,65,39,GB069,104
7,117,7,GB070,124
26,95,29,GB071,124
17,103,19,GB072,122
25,87,33,GB073,120
4,9,119,GB074,128
9,107,15,GB075,122
12,12,119,GB079,131
19,26,104,GB080,130
6,112,10,GB081,122
8,119,10,GB082,129
15,110,18,GB083,128
16,107,21,GB084,128
29,81,40,GB086,121
11,116,13,GB089,129
21,78,51,GB090,129
8,116,10,GB091,126
21,79,46,GB092,125
22,52,76,GB093,128
2,126,2,GB094,128
5,109,6,GB095,115
15,101,15,GB096,116
17,94,22,GB098,116
2,100,2,GB099,102
12,92,14,GB103,106
10,92,13,GB104,105
27,50,48,GB105,98
20,100,31,GB107,131
23,79,43,GB108,122
10,88,11,GB109,99
0,100,0,GB110,100
9,108,11,GB111,119
19,22,101,GB113,123
12,91,15,GB114,106
25,41,71,GB115,112
1,105,1,GB116,106
17,91,22,GB117,113
18,23,84,GB118,107
23,93,26,GB119,119
24,93,27,GB120,120
14,105,16,GB121,121
27,48,36,GB122,84
8,45,9,GB123,54
17,41,42,GB124,83
28,35,69,GB126,104
4,77,5,GB127,82
3,116,3,GB129,119
17,94,34,GB131,128
18,43,84,GB132,127
7,117,13,GB133,130
3,3,106,GB134,109
4,4,92,GB135,96
24,34,83,GB136,117
18,100,26,GB137,126
33,80,47,GB138,127
19,26,87,GB139,113
26,45,41,GB140,86
13,49,20,GB146,69
24,76,34,GB147,110
11,79,15,GB148,94
0,114,0,GB149,114
10,77,12,GB150,89
6,106,7,GB151,113
16,86,17,GB152,103
13,26,99,GB155,125
3,103,3,GB156,106
9,12,114,GB158,126
24,36,64,GB159,100
24,40,46,GB160,86
2,119,2,GB165,121
3,119,3,GB166,122
0,95,0,GB167,95
2,118,2,GB170,120
3,116,3,GB171,119
8,114,10,GB172,124
9,94,10,GB177,104
27,81,30,GB184,111
29,69,45,GB185,114
26,74,44,GB186,118
8,61,9,GB187,70
4,68,4,GB188,72
1,122,1,GB192,123
0,127,0,GB196,127
0,127,0,GB197,127
5,115,5,GB198,120
24,40,35,GB204,75
16,47,27,GB250,74
8,47,9,GB252,56
12,47,12,GB253,59
16,21,50,GB254,71
9,49,9,GB256,58
8,8,89,GB257,97
0,98,0,GB260,98
8,89,9,GB262,98
23,70,30,GB263,100
7,90,7,GB264,97
15,36,37,GB265,73
17,32,42,GB266,74
18,39,23,GB270,62
16,44,17,GB273,61
10,73,11,GB275,84
23,38,41,GB276,79
1,99,1,GB285,100
4,95,4,GB286,99
7,99,7,GB291,106
1,33,1,GB296,34
2,88,2,GB297,90
16,107,16,GB298,123
19,27,97,GB299,124
3,80,4,GB300,84
22,26,44,GB301,70
4,102,4,GB302,106
1,79,1,GB303,80
8,70,20,GB304,90
24,59,38,GB305,97
12,77,18,GB306,95
21,99,23,GB309,122
19,82,35,GB312,117
33,66,51,GB313,117
1,112,1,GB314,113
0,112,0,GB315,112
21,91,27,GB316,118
19,95,21,GB317,116
23,56,62,GB318,118
4,118,4,GB319,122
9,108,11,GB320,119
2,114,2,GB321,116
5,50,5,GB322,55
1,52,1,GB323,53
29,70,39,GB324,109
4,88,4,GB325,92
13,16,89,GB326,105
1,1,112,GB327,113
3,105,3,GB328,108
6,97,6,GB329,103
7,91,7,GB330,98
12,87,12,GB331,99
10,21,99,GB333,120
17,75,40,GB334,115
9,103,14,GB335,117
1,108,1,GB336,109
5,97,5,GB400,102
21,41,24,GB401,65
1,81,1,GB402,82
10,73,13,GB403,86
29,72,45,GB408,117
16,88,27,GB409,115
30,34,79,GB410,113
16,76,16,GB415,92
22,31,61,GB421,92
3,92,4,GB422,96
8,108,15,GB430,123
9,114,10,GB431,124
12,110,12,GB432,122
10,35,91,GB433,126
26,35,71,GB519,106
20,26,94,GB520,120
25,66,51,GB521,117
24,29,80,GB522,109
